Reserve	Ecosystem	ID_Number	SampleID	Date_sampled	Litter_type	plot_cordsX	plot_cordsY	Elevation	Litter_species	Litter_species_common_name	pH	Plant_family	Plant_type
Quail Ridge Reserve	Oak Woodland	12	12D3	2022-06-03	Dominant Vegetation	"38¼29'37""N"	"122¼09'04""W"	171	"Quercus douglasii, Quercus kelloggii"		4.6	Fagaceae	Tree
Quail Ridge Reserve	Oak Woodland	12	12D4	2022-06-03	Dominant Vegetation	"38¼29'37""N"	"122¼09'04""W"	171	"Quercus douglasii, Quercus kelloggii"		4.52	Fagaceae	Tree
McLaughlin Natural Reserve	Grassland	11	11G1	2022-06-04	Grass	"38¼51'55""N"	"122¼24'1""W"	709	"Stipa pulchra, Festuca microstachys"		4.75	Poaceae	Grass
McLaughlin Natural Reserve	Grassland	11	11G2	2022-06-04	Grass	"38¼51'55""N"	"122¼24'1""W"	709	"Stipa pulchra, Festuca microstachys"		4.98	Poaceae	Grass
McLaughlin Natural Reserve	Grassland	11	11G3	2022-06-04	Grass	"38¼51'55""N"	"122¼24'1""W"	709	"Stipa pulchra, Festuca microstachys"		4.81	Poaceae	Grass
McLaughlin Natural Reserve	Grassland	11	11G4	2022-06-04	Grass	"38¼51'55""N"	"122¼24'1""W"	709	"Stipa pulchra, Festuca microstachys"		4.97	Poaceae	Grass
McLaughlin Natural Reserve	Grassland	11	11D1	2022-06-04	Dominant Vegetation	"38¼52'19""N"	"122¼25'41""W"	658	"Avena barbata, Bromus diandrus"		5.82	Poaceae	Grass
McLaughlin Natural Reserve	Grassland	11	11D2	2022-06-04	Dominant Vegetation	"38¼52'19""N"	"122¼25'41""W"	658	"Avena barbata, Bromus diandrus"		5.4	Poaceae	Grass
McLaughlin Natural Reserve	Grassland	11	11D3	2022-06-04	Dominant Vegetation	"38¼52'19""N"	"122¼25'41""W"	658	"Avena barbata, Bromus diandrus"		5.77	Poaceae	Grass
McLaughlin Natural Reserve	Grassland	11	11D4	2022-06-04	Dominant Vegetation	"38¼52'19""N"	"122¼25'41""W"	658	"Avena barbata, Bromus diandrus"		6.3	Poaceae	Grass
Bodega Marine Reserve	Coastal Marine	08	08G1	2022-06-06	Grass	"38¼18'55""N"	"123¼04'03""W"	17	"Avena fatua, Bromus diandrus, Briza maxima"		6.13	Poaceae	Grass
Bodega Marine Reserve	Coastal Marine	08	08G2	2022-06-06	Grass	"38¼18'55""N"	"123¼04'03""W"	17	"Avena fatua, Bromus diandrus, Briza maxima"		4.98	Poaceae	Grass
Bodega Marine Reserve	Coastal Marine	08	08G3	2022-06-06	Grass	"38¼18'55""N"	"123¼04'03""W"	17	"Avena fatua, Bromus diandrus, Briza maxima"		6.13	Poaceae	Grass
Bodega Marine Reserve	Coastal Marine	08	08G4	2022-06-06	Grass	"38¼18'55""N"	"123¼04'03""W"	17	"Avena fatua, Bromus diandrus, Briza maxima"		5.87	Poaceae	Grass
Bodega Marine Reserve	Coastal Marine	08	08D1	2022-06-06	Dominant Vegetation	"38¼19'10""N"	"123¼03'27""W"	5	Lupinus chamissonis		6.3	Fabaceae	Shrub
Bodega Marine Reserve	Coastal Marine	08	08D2	2022-06-06	Dominant Vegetation	"38¼19'10""N"	"123¼03'27""W"	5	Lupinus chamissonis		6.61	Fabaceae	Shrub
Bodega Marine Reserve	Coastal Marine	08	08D3	2022-06-06	Dominant Vegetation	"38¼19'10""N"	"123¼03'27""W"	5	Lupinus chamissonis		6.58	Fabaceae	Shrub
Bodega Marine Reserve	Coastal Marine	08	08D4	2022-06-06	Dominant Vegetation	"38¼19'10""N"	"123¼03'27""W"	5	Lupinus chamissonis		6.94	Fabaceae	Shrub
White Mountain Research Center	Desert	18	18G1	2022-07-11	Grass	"37¼23'47.09""N"	"118¼18'81.62""W"	1305	Melica californica		4.23	Poaceae	Grass
White Mountain Research Center	Desert	18	18G2	2022-07-11	Grass	"37¼23'47.09""N"	"118¼18'81.62""W"	1305	Melica californica		4.49	Poaceae	Grass
White Mountain Research Center	Desert	18	18G3	2022-07-11	Grass	"37¼23'47.09""N"	"118¼18'81.62""W"	1305	Melica californica		4.48	Poaceae	Grass
White Mountain Research Center	Desert	18	18G4	2022-07-11	Grass	"37¼23'47.09""N"	"118¼18'81.62""W"	1305	Melica californica		5.36	Poaceae	Grass
White Mountain Research Center	Desert	18	18D1	2022-07-11	Dominant Vegetation	"37¼21'31.67""N"	"118¼19'44.07""W"	1235	Atriplex lentiformis	Saltbrush	7.17	Amaranthaceae	Shrub
White Mountain Research Center	Desert	18	18D2	2022-07-11	Dominant Vegetation	"37¼21'31.67""N"	"118¼19'44.07""W"	1235	Atriplex lentiformis	Saltbrush	7.32	Amaranthaceae	Shrub
White Mountain Research Center	Desert	18	18D3	2022-07-11	Dominant Vegetation	"37¼21'31.67""N"	"118¼19'44.07""W"	1235	Atriplex lentiformis	Saltbrush	7.61	Amaranthaceae	Shrub
White Mountain Research Center	Desert	18	18D4	2022-07-11	Dominant Vegetation	"37¼21'31.67""N"	"118¼19'44.07""W"	1235	Atriplex lentiformis	Saltbrush	7.21	Amaranthaceae	Shrub
Sierra Nevada Aquatic Research Laboratory	Desert	36	36G1	2022-07-11	Grass	"37¼36'51.41""N"	"118¼49'52.81""W"	2164	Elymus triticoides		4.21	Poaceae	Grass
Sierra Nevada Aquatic Research Laboratory	Desert	36	36G2	2022-07-11	Grass	"37¼36'51.41""N"	"118¼49'52.81""W"	2164	Elymus triticoides		4.61	Poaceae	Grass
Sierra Nevada Aquatic Research Laboratory	Desert	36	36G3	2022-07-11	Grass	"37¼36'51.41""N"	"118¼49'52.81""W"	2164	Elymus triticoides		4.22	Poaceae	Grass
Sierra Nevada Aquatic Research Laboratory	Desert	36	36G4	2022-07-11	Grass	"37¼36'51.41""N"	"118¼49'52.81""W"	2164	Elymus triticoides		4.47	Poaceae	Grass
Sierra Nevada Aquatic Research Laboratory	Desert	36	36D1	2022-07-11	Dominant Vegetation	"37¼36'43""N"	"118¼49'51""W"	2162	Artemisa tridentata		5.08	Asteraceae	Shrub
Sierra Nevada Aquatic Research Laboratory	Desert	36	36D2	2022-07-11	Dominant Vegetation	"37¼36'43""N"	"118¼49'51""W"	2162	Artemisa tridentata		6.09	Asteraceae	Shrub
Sierra Nevada Aquatic Research Laboratory	Desert	36	36D3	2022-07-11	Dominant Vegetation	"37¼36'43""N"	"118¼49'51""W"	2162	Artemisa tridentata		5.6	Asteraceae	Shrub
Sierra Nevada Aquatic Research Laboratory	Desert	36	36D4	2022-07-11	Dominant Vegetation	"37¼36'43""N"	"118¼49'51""W"	2162	Artemisa tridentata		5.83	Asteraceae	Shrub
Valentine Camp	Connifer Forest	37	37G1	2022-07-11	Grass	"37¼37'55""N"	"118¼59'40""W"	2461	Calamagrostis stricta		5.22	Poaceae	Grass
Valentine Camp	Connifer Forest	37	37G2	2022-07-11	Grass	"37¼37'55""N"	"118¼59'40""W"	2461	Calamagrostis stricta		5.14	Poaceae	Grass
Valentine Camp	Connifer Forest	37	37G3	2022-07-11	Grass	"37¼37'55""N"	"118¼59'40""W"	2461	Calamagrostis stricta		5.5	Poaceae	Grass
Valentine Camp	Connifer Forest	37	37G4	2022-07-11	Grass	"37¼37'55""N"	"118¼59'40""W"	2461	Calamagrostis stricta		4.77	Poaceae	Grass
Valentine Camp	Connifer Forest	37	37D1	2022-07-11	Dominant Vegetation	"37¼37'42""N"	"118¼59'37""W"	2461	Pinus jeffreyi		5.96	Pinaceae	Pine
Valentine Camp	Connifer Forest	37	37D2	2022-07-11	Dominant Vegetation	"37¼37'42""N"	"118¼59'37""W"	2461	Pinus jeffreyi		5.31	Pinaceae	Pine
Valentine Camp	Connifer Forest	37	37D3	2022-07-11	Dominant Vegetation	"37¼37'42""N"	"118¼59'37""W"	2461	Pinus jeffreyi		5.67	Pinaceae	Pine
Valentine Camp	Connifer Forest	37	37D4	2022-07-11	Dominant Vegetation	"37¼37'42""N"	"118¼59'37""W"	2461	Pinus jeffreyi		5.38	Pinaceae	Pine
Yosemite Field Station	Montane	20	20G1	2022-07-12	Grass	"37¼45'34""N"	"119¼48'5.92""W"	1888	"Agrostis capilaris, Holcus lanatus"		5.69	Poaceae	Grass
Yosemite Field Station	Montane	20	20G2	2022-07-12	Grass	"37¼45'34""N"	"119¼48'5.92""W"	1888	"Agrostis capilaris, Holcus lanatus"		6.08	Poaceae	Grass
Yosemite Field Station	Montane	20	20G3	2022-07-12	Grass	"37¼45'34""N"	"119¼48'5.92""W"	1888	"Agrostis capilaris, Holcus lanatus"		6.35	Poaceae	Grass
Yosemite Field Station	Montane	20	20G4	2022-07-12	Grass	"37¼45'34""N"	"119¼48'5.92""W"	1888	"Agrostis capilaris, Holcus lanatus"		6.35	Poaceae	Grass
Yosemite Field Station	Montane	20	20D1	2022-07-12	Dominant Vegetation	"37¼45'30.63""N"	"119¼47'58.19""W"	1915	"Pinus ponderosa, Piimus jeffreyi"		5.1	Pinaceae	Pine
Yosemite Field Station	Montane	20	20D2	2022-07-12	Dominant Vegetation	"37¼45'30.63""N"	"119¼47'58.19""W"	1915	"Pinus ponderosa, Piimus jeffreyi"		5.13	Pinaceae	Pine
Yosemite Field Station	Montane	20	20D3	2022-07-12	Dominant Vegetation	"37¼45'30.63""N"	"119¼47'58.19""W"	1915	"Pinus ponderosa, Piimus jeffreyi"		4.36	Pinaceae	Pine
Yosemite Field Station	Montane	20	20D4	2022-07-12	Dominant Vegetation	"37¼45'30.63""N"	"119¼47'58.19""W"	1915	"Pinus ponderosa, Piimus jeffreyi"		4.93	Pinaceae	Pine
Merced Vernal Pools and Grassland Reserve	Grassland	19	19G1	2022-07-13	Grass	"37¼21'34.35""N"	"120¼23'47.72""W"	83	"Bromus hordeaceus, Avena barbata, Bromus madritensis"		4.77	Poaceae	Grass
Merced Vernal Pools and Grassland Reserve	Grassland	19	19G2	2022-07-13	Grass	"37¼21'34.35""N"	"120¼23'47.72""W"	83	"Bromus hordeaceus, Avena barbata, Bromus madritensis"		4.71	Poaceae	Grass
Merced Vernal Pools and Grassland Reserve	Grassland	19	19G3	2022-07-13	Grass	"37¼21'34.35""N"	"120¼23'47.72""W"	83	"Bromus hordeaceus, Avena barbata, Bromus madritensis"		4.56	Poaceae	Grass
Merced Vernal Pools and Grassland Reserve	Grassland	19	19G4	2022-07-13	Grass	"37¼21'34.35""N"	"120¼23'47.72""W"	83	"Bromus hordeaceus, Avena barbata, Bromus madritensis"		4.97	Poaceae	Grass
