batch	code	account	farmname	desc_1	Sampled	Arrived	Completed	Cutting	CropYear	drymatter	moisture	CP	ADJ_CP	ADJ_CP_CP	SP	SP_CP	NH3CPE	NH3CPE_CP	ADICP	ADICP_CP	NDICP	NDICP_CP	RDP	RDP_CP	RDPsg	RDPsg_CP	ADF	ADF_NDF	NDF	aNDFom	Lignin	Lignin_ndf	ESC	ESC_NFC	Starch	Starch_NFC	Sol_fiber	Sol_fiber_NFC	StarchD	StarchD_NFC	TFA	Fat_EE	AHFAT	eTDN	eDE	TDN	DEMcallb	DEMcalkg	DEMJkg	NELMcallb	NELMcalkg	NELMJkg	NELNASEMMcallb	NELNASEMMcalkg	NELNASEMMJkg	NEMMcallb	NEMMcalkg	NEMMJkg	NEGMcallb	NEGMcalkg	NEGMJkg	kdVanAmburgh	NDFDigRateKD_uNDF	kdMertens	kdStarchMertens	RFV	RFQ	MilkTonH	DOMI	ROM	NFC	NSC	DCAD	SummativeIndex	Ash	Ca	P	Mg	K	S	ME	WaterSolubleCHOSugar_DM	NSC_WSC	Beef_per_Ton
36055	73	13392	JENNIFER MARTINY LAB	#73 18G1		9/24/24	11/4/24		2024	91.3	8.7	2.2	1.1	50	1.3	60.2	2.38	110.2	1.05	48.6	1.9	88	1.7	80.1			53.6	78.1	68.6	67.5	8.62	12.57	1.5	8.3	0.5	2.9						1.53				45.9				0.46						0.34			0.1				4.1			64				18.6	18.5	2			11.19	0.46		0.13		0.05	0.72	6.5	7	
36055	74	13392	JENNIFER MARTINY LAB	#74 18G2		9/24/24	11/4/24		2024	100	0	0																																																																						0		
36055	75	13392	JENNIFER MARTINY LAB	#75 18D3		9/24/24	11/4/24		2024	90	10	10.6	7.5	70.8	5.9	55.7	4.01	37.9	3.14	29.7	4.99	47.2	8.2	77.8			48.1	99.1	48.5	36.4	18.07	37.24			6.4	33.7						5.57				37.6				0.36						0.17										99				22.11	18.8				21.49	2.05	0.02	1.18		0.31	0.56	0	6.4	
36055	76	13392	JENNIFER MARTINY LAB	#76 18D2		9/24/24	11/4/24		2024	100	0																																																																									
36055	77	13392	JENNIFER MARTINY LAB	#77 36G1		9/24/24	11/4/24		2024	90	10	7.3	5.3	72.6	2.9	40.4	0.51	7	1.95	26.8	3.55	48.8	5.1	70.2			51.5	76.6	67.2	59.9	9.96	14.82	1.1	5.7	0.7	3.5						2.55				48.6				0.49						0.4			0.15				4.7			68				21.99	18.6	1.8			7.89	0.6	0.18	0.2		0.13	0.78	4.1	4.8	
36055	78	13392	JENNIFER MARTINY LAB	#78 36G2		9/24/24	11/4/24		2024	89.5	10.5	6	4	66.7	2.4	40.1			2.01	33.4	4.05	67.4	4.2	70			54.2	75.7	71.7	64.2	9.52	13.29	0.1	0.5	0.5	3.2						2.11				47				0.47						0.36			0.12				4.9			61					16	0.6			8.25	0.41	0.21	0.15	0.11	0.05	0.75	4.3	4.8	
36055	79	13392	JENNIFER MARTINY LAB	#79 36D1		9/24/24	11/4/24		2024	89.4	10.6	11.5	7.5	65.2	4.6	39.7			4	34.7	4.56	39.6	8	69.8			52.6	118.4	44.4	33.3	17.33	39.03	0.1	0.4	7.6	27.8						8.12				51.3				0.52						0.45			0.2				1.7			101					27.2	7.7			11.6	2.07	0.52	0.61	0.1	0.31	0.83	0.1	7.7	
	80			SKIP																																																																																
36055	81	13392	JENNIFER MARTINY LAB	#81 37G1		9/24/24	11/4/24		2024	89.4	10.6	4.8	3	62.5	1	20.5	1.24	26	1.83	38.4	3.74	78.4	2.9	60.3			54.8	92.3	59.4	52.4	8.67	14.61	0.8	4.5	1.7	8.9						1.5				40.3				0.39						0.23							3.9			72				20.77	18.5	2.5			19.62	0.29	0.1	0.06	0.51		0.61	3.1	4.8	
36055	82	13392	JENNIFER MARTINY LAB	#82 37G2		9/24/24	11/4/24		2024	90.6	9.4	2.4	1	41.7			1.77	72.5	1.43	58.6	3.31	135.7					55	83.9	65.5	60.3	7.51	11.46			1.8	10.2						1.67				43.5				0.43						0.29			0.05				3.9			66				18.38	17.1				16.58	0.22	0.08	0.04	0.48		0.67	2.2	4	
36055	83	13392	JENNIFER MARTINY LAB	#83 37D1		9/24/24	11/4/24		2024	90.6	9.4	5.4	1.7	31.5	0.6	11.6			3.7	68	4.22	77.5	3	55.8			43.7	93.4	46.8	35.1	19.37	41.39	2.3	6.4	3.3	9.1						9.8				59.5				0.61						0.61			0.34				2.5			109					36.1	5.6			2.41	2.34	0.26	0.83	0.1	0.45	1	3.3	6.6	
36055	84	13392	JENNIFER MARTINY LAB	#84 37D2		9/24/24	11/4/24		2024	90	10	4.7	0.6	12.8					4.05	86.9	4.62	99.1					45.7	88.2	51.8	38.8	18.46	35.66	1.4	4.3	3.3	9.9						6.62				51.8				0.52						0.46			0.21				2.2			96					33.2	4.7			4.62	1.82	0.39	0.53	0.1	0.32	0.84	2.1	5.4	
36055	85	13392	JENNIFER MARTINY LAB	#85 20G1		9/24/24	11/4/24		2024	87.4	12.6	14.6	10.8	74	4.3	29.2			3.79	25.9	6.61	45.2	9.4	64.6			49.4	72.1	68.6	57.8	15.39	22.45	0.1	0.6	2.2	14.2						2.09				42.6				0.42						0.28			0.04				4.4			68					15.7	2.3			5.68	0.78	0.37	0.16	0.1	0.18	0.66	0.1	2.3	
36055	86	13392	JENNIFER MARTINY LAB	#86 20G2		9/24/24	11/4/24		2024	88.4	11.6	9.6	6.6	68.8	0.3	3.2			3.02	31.4	6.01	62.4	5	51.6			47.9	71.6	66.9	56.2	10.59	15.82			3.1	16.4						2.35				47				0.47						0.36			0.12				4.7			72					18.7				8.44	0.66	0.35	0.15	1.29	0.11	0.74	0	3.1	
36055	87	13392	JENNIFER MARTINY LAB	#87 20D1		9/24/24	11/4/24		2024	90.9	9.1	4.1	0.5	12.2			0.31	7.5	3.62	87.4	4.13	99.6					38.2	82.6	46.3	37.7	12.92	27.93	4.5	11	5.5	13.3						6.14				59.1				0.6						0.6			0.34				3.8			119				41.74	41.2	10			5.02	1.69	0.22	0.62		0.24	0.99	6.6	12.1	
36055	88	13392	JENNIFER MARTINY LAB	#88 20D2		9/24/24	11/4/24		2024	91.8	8.2	1.6	-1.2				0.4	25.8	2.83	182.6	3.23	208.2					40.9	81.4	50.3	43.3	12.81	25.49	2.2	5.5	4.5	11.5						5.82				58.4				0.59						0.59			0.33				3.6			106				40.42	39.1	6.7			4.62	1.5	0.11	0.5		0.15	0.97	3.1	7.6	
36055	89	13392	JENNIFER MARTINY LAB	#89 19G1		9/24/24	11/4/24		2024	90.9	9.1	5.3	4	75.5	2.2	42.2	2.11	40.1	1.31	24.9	3.82	72.6	3.7	71.1			48.4	64.1	75.5	74.4	7.09	9.39	2.8	16.1	1.8	10.7						1.58				53.1				0.54						0.49			0.23				4.7			63				13.96	17.2	4.6			4.31	0.36	0.15	0.16	0.33	0.07	0.87	6.7	8.5	
36055	90	13392	JENNIFER MARTINY LAB	#90 19G2		9/24/24	11/4/24		2024	90.8	9.3	5.5	4.2	76.4	1.9	33.5	2.19	39.6	1.31	23.7	3.78	68.4	3.7	66.7			46.4	66.9	69.3	66.7	6.41	9.24	2.5	11.7	3.2	14.6						1.82				55.2				0.56						0.53			0.27				4.9			71				18.79	21.7	5.7			5.39	0.58	0.18	0.16	0.64	0.07	0.91	4.6	7.8	
36055	91	13392	JENNIFER MARTINY LAB	#91 28G1		9/24/24	11/4/24		2024	87.5	12.5	6	3.4	56.7					2.62	43.4	4.71	78					61.1	86.7	70.5	57.5	9.96	14.14			0.8	4.2						1.29				44.9				0.44						0.32			0.08				4.9			55					18.1				8.86	0.87	0.38	0.24	1.62	0.03	0.7	2	2.8	
36055	92	13392	JENNIFER MARTINY LAB	#92 33G2		9/24/24	11/4/24		2024	88.8	11.2	3.3	1.3	39.4			0.58	17.8	1.95	60	4.46	137.2					58.4	70.7	82.6	74.9	8.62	10.44			0.1	0.8						1.24				45.7				0.45						0.34			0.1				4.8			49				14.09	10.6				6.74	0.33	0.2	0.14	1.15		0.72	3.7	3.8	
36055	93	13392	JENNIFER MARTINY LAB	#93 40G1		9/24/24	11/4/24		2024	90.2	9.8	2.7	1.3	48.1			0.53	19.3	1.44	52.6	4.73	172.6					56.7	66.3	85.4	80.6	7.58	8.88			1.1	10.8						1.56				49.3				0.49						0.41			0.16				4.8			49				9.67	10.3				4.71	0.25	0.13	0.12	0.82	0.04	0.79	5.7	6.8	
36055	94	13392	JENNIFER MARTINY LAB	#94 40G2		9/24/24	11/4/24		2024	90.6	9.5	4	2.9	72.5	0.2	3.7	1.22	30.3	1.13	28	3.23	80.1	2.1	51.9			50.6	67.5	74.9	72.6	5.89	7.87			2.1	13						2.28				54.8				0.56						0.52			0.27				4.7			62				14.17	16.4				5.63	0.45	0.14	0.12	1.03	0.01	0.9	4.4	6.5	
36055	95	13392	JENNIFER MARTINY LAB	#95 0.1		9/24/24	11/4/24		2024	89.2	10.8	5.3	3.2	60.4			0.49	9.3	2.05	38.8	5.21	98.7					55.4	72.6	76.4	66.2	7.76	10.16			2.5	16.8						1.19				48.1				0.48						0.39			0.14				4.8			56				17.67	14.9				7.45	0.53	0.2	0.11	1.41	0.02	0.77	1.1	3.6	
36055	97	13392	JENNIFER MARTINY LAB	#97		9/24/24	11/4/24		2024	89.8	10.2	9.6	8.5	88.5	3.4	35.2			1.75	18.3	4.05	42.3	6.5	67.6			58.2	106.8	54.5	41	12.16	22.33			0.6	2.2						5.19				52.9				0.53						0.48			0.23				5			74					25.7				9.17	2.01	0.13	0.61		0.09	0.86	6.5	7.1	
