Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
BLOK-G,-121.7372,37.383,599,January,113.1,4.6,9,13.5
BLOK-G,-121.7372,37.383,599,February,104.45,4.7,9.1,13.5
BLOK-G,-121.7372,37.383,599,March,92.74,5.1,10,15
BLOK-G,-121.7372,37.383,599,April,49.23,5.6,11.2,16.8
BLOK-G,-121.7372,37.383,599,May,24.9,8,14.2,20.5
BLOK-G,-121.7372,37.383,599,June,6.86,11.8,18.2,24.6
BLOK-G,-121.7372,37.383,599,July,0,15.2,21.6,28
BLOK-G,-121.7372,37.383,599,August,1.36,14,20.9,27.8
BLOK-G,-121.7372,37.383,599,September,2.92,13.5,20,26.6
BLOK-G,-121.7372,37.383,599,October,24.8,11.7,17.2,22.7
BLOK-G,-121.7372,37.383,599,November,54.43,7.9,12.4,16.8
BLOK-G,-121.7372,37.383,599,December,106.45,4.3,8.5,12.7
BLOK-G,-121.7372,37.383,599,Annual,581.24,8.9,14.4,19.9
,,,,,,,,
BLOK-DV,-121.737,37.3836,599,January,113.1,4.6,9,13.5
BLOK-DV,-121.737,37.3836,599,February,104.45,4.7,9.1,13.5
BLOK-DV,-121.737,37.3836,599,March,92.74,5.1,10,15
BLOK-DV,-121.737,37.3836,599,April,49.23,5.6,11.2,16.8
BLOK-DV,-121.737,37.3836,599,May,24.9,8,14.2,20.5
BLOK-DV,-121.737,37.3836,599,June,6.86,11.8,18.2,24.6
BLOK-DV,-121.737,37.3836,599,July,0,15.2,21.6,28
BLOK-DV,-121.737,37.3836,599,August,1.36,14,20.9,27.8
BLOK-DV,-121.737,37.3836,599,September,2.92,13.5,20,26.6
BLOK-DV,-121.737,37.3836,599,October,24.8,11.7,17.2,22.7
BLOK-DV,-121.737,37.3836,599,November,54.43,7.9,12.4,16.8
BLOK-DV,-121.737,37.3836,599,December,106.45,4.3,8.5,12.7
BLOK-DV,-121.737,37.3836,599,Annual,581.24,8.9,14.4,19.9
,,,,,,,,
JEP-G,-121.8236,38.2753,7,January,96.71,3.6,8.4,13.1
JEP-G,-121.8236,38.2753,7,February,89.21,4.8,10.3,15.9
JEP-G,-121.8236,38.2753,7,March,64.56,6.6,12.5,18.5
JEP-G,-121.8236,38.2753,7,April,29.87,8,14.6,21.1
JEP-G,-121.8236,38.2753,7,May,16.65,10.7,17.8,24.9
JEP-G,-121.8236,38.2753,7,June,4.22,13.1,21,28.9
JEP-G,-121.8236,38.2753,7,July,0,14.3,22.8,31.3
JEP-G,-121.8236,38.2753,7,August,0.55,14.3,22.7,31.1
JEP-G,-121.8236,38.2753,7,September,2.01,13.2,21.6,30
JEP-G,-121.8236,38.2753,7,October,19.4,10.1,17.7,25.3
JEP-G,-121.8236,38.2753,7,November,43.16,5.7,12.1,18.5
JEP-G,-121.8236,38.2753,7,December,92.49,3.2,8.2,13.3
JEP-G,-121.8236,38.2753,7,Annual,458.82,9,15.8,22.7
,,,,,,,,
JEP-DV,-121.8242,38.2739,7,January,96.71,3.6,8.4,13.1
JEP-DV,-121.8242,38.2739,7,February,89.21,4.8,10.3,15.9
JEP-DV,-121.8242,38.2739,7,March,64.56,6.6,12.5,18.5
JEP-DV,-121.8242,38.2739,7,April,29.87,8,14.6,21.1
JEP-DV,-121.8242,38.2739,7,May,16.65,10.7,17.8,24.9
JEP-DV,-121.8242,38.2739,7,June,4.22,13.1,21,28.9
JEP-DV,-121.8242,38.2739,7,July,0,14.3,22.8,31.3
JEP-DV,-121.8242,38.2739,7,August,0.55,14.3,22.7,31.1
JEP-DV,-121.8242,38.2739,7,September,2.01,13.2,21.6,30
JEP-DV,-121.8242,38.2739,7,October,19.4,10.1,17.7,25.3
JEP-DV,-121.8242,38.2739,7,November,43.16,5.7,12.1,18.5
JEP-DV,-121.8242,38.2739,7,December,92.49,3.2,8.2,13.3
JEP-DV,-121.8242,38.2739,7,Annual,458.82,9,15.8,22.7
,,,,,,,,
QUIL-G,-122.1528,38.4906,199,January,143.6,2.7,8.5,14.3
QUIL-G,-122.1528,38.4906,199,February,147.15,3.7,10,16.4
QUIL-G,-122.1528,38.4906,199,March,102.79,4.9,11.8,18.7
QUIL-G,-122.1528,38.4906,199,April,41.69,6.5,14,21.6
QUIL-G,-122.1528,38.4906,199,May,27.11,9.5,17.6,25.7
QUIL-G,-122.1528,38.4906,199,June,5.42,12.8,21.6,30.4
QUIL-G,-122.1528,38.4906,199,July,0,14.6,24.3,33.9
QUIL-G,-122.1528,38.4906,199,August,0.73,13.9,23.8,33.7
QUIL-G,-122.1528,38.4906,199,September,2.05,12.6,22.2,31.8
QUIL-G,-122.1528,38.4906,199,October,27.04,9,17.6,26.1
QUIL-G,-122.1528,38.4906,199,November,62.25,4.7,11.7,18.7
QUIL-G,-122.1528,38.4906,199,December,139.24,2.3,8.3,14.4
QUIL-G,-122.1528,38.4906,199,Annual,699.07,8.1,15.9,23.8
,,,,,,,,
QUIL-DV,-122.1511,38.4936,199,January,143.6,2.7,8.5,14.3
QUIL-DV,-122.1511,38.4936,199,February,147.15,3.7,10,16.4
QUIL-DV,-122.1511,38.4936,199,March,102.79,4.9,11.8,18.7
QUIL-DV,-122.1511,38.4936,199,April,41.69,6.5,14,21.6
QUIL-DV,-122.1511,38.4936,199,May,27.11,9.5,17.6,25.7
QUIL-DV,-122.1511,38.4936,199,June,5.42,12.8,21.6,30.4
QUIL-DV,-122.1511,38.4936,199,July,0,14.6,24.3,33.9
QUIL-DV,-122.1511,38.4936,199,August,0.73,13.9,23.8,33.7
QUIL-DV,-122.1511,38.4936,199,September,2.05,12.6,22.2,31.8
QUIL-DV,-122.1511,38.4936,199,October,27.04,9,17.6,26.1
QUIL-DV,-122.1511,38.4936,199,November,62.25,4.7,11.7,18.7
QUIL-DV,-122.1511,38.4936,199,December,139.24,2.3,8.3,14.4
QUIL-DV,-122.1511,38.4936,199,Annual,699.07,8.1,15.9,23.8
,,,,,,,,
McLL-G,-122.4003,38.8653,717,January,185.26,3.9,8.3,12.6
McLL-G,-122.4003,38.8653,717,February,189.7,4.1,8.9,13.6
McLL-G,-122.4003,38.8653,717,March,135.88,4.5,10.2,15.8
McLL-G,-122.4003,38.8653,717,April,58.22,5.7,12.3,18.9
McLL-G,-122.4003,38.8653,717,May,35.21,8.7,16.2,23.7
McLL-G,-122.4003,38.8653,717,June,8.36,12.3,20.6,28.9
McLL-G,-122.4003,38.8653,717,July,0.26,14.7,24.2,33.7
McLL-G,-122.4003,38.8653,717,August,1.34,14.5,23.8,33.1
McLL-G,-122.4003,38.8653,717,September,3.78,13.3,22,30.6
McLL-G,-122.4003,38.8653,717,October,37.53,10.1,17.1,24
McLL-G,-122.4003,38.8653,717,November,94.97,6,11.2,16.4
McLL-G,-122.4003,38.8653,717,December,194.64,3.6,7.9,12.2
McLL-G,-122.4003,38.8653,717,Annual,945.16,8.4,15.2,22
,,,,,,,,
McLL-DV,-122.4281,38.8719,665,January,186.12,3.8,8.3,12.7
McLL-DV,-122.4281,38.8719,665,February,192.99,4.1,9,14
McLL-DV,-122.4281,38.8719,665,March,137.23,4.7,10.4,16.2
McLL-DV,-122.4281,38.8719,665,April,58.31,5.9,12.4,18.9
McLL-DV,-122.4281,38.8719,665,May,35.61,8.8,16.2,23.6
McLL-DV,-122.4281,38.8719,665,June,8.51,12.5,20.7,28.9
McLL-DV,-122.4281,38.8719,665,July,0.28,14.8,24.2,33.6
McLL-DV,-122.4281,38.8719,665,August,1.35,14.5,23.8,33.1
McLL-DV,-122.4281,38.8719,665,September,3.79,13.3,22,30.6
McLL-DV,-122.4281,38.8719,665,October,37.51,10,17,24
McLL-DV,-122.4281,38.8719,665,November,94.1,5.8,11.3,16.7
McLL-DV,-122.4281,38.8719,665,December,188.38,3.6,7.9,12.3
McLL-DV,-122.4281,38.8719,665,Annual,944.19,8.5,15.3,22
,,,,,,,,
BOMR-G,-123.0675,38.3153,22,January,157.35,6.6,10.2,13.8
BOMR-G,-123.0675,38.3153,22,February,154.64,6.6,10.3,14
BOMR-G,-123.0675,38.3153,22,March,117.56,7.1,10.7,14.2
BOMR-G,-123.0675,38.3153,22,April,54.61,7.5,11,14.5
BOMR-G,-123.0675,38.3153,22,May,30.03,8.8,11.8,14.8
BOMR-G,-123.0675,38.3153,22,June,9.02,10,12.9,15.8
BOMR-G,-123.0675,38.3153,22,July,0.76,10.6,13.6,16.5
BOMR-G,-123.0675,38.3153,22,August,1.66,10.9,14,17.2
BOMR-G,-123.0675,38.3153,22,September,3.4,10.2,13.6,17.1
BOMR-G,-123.0675,38.3153,22,October,37.99,9.6,13.1,16.6
BOMR-G,-123.0675,38.3153,22,November,82.59,7.7,11.5,15.3
BOMR-G,-123.0675,38.3153,22,December,170.37,6.2,10.3,14.3
BOMR-G,-123.0675,38.3153,22,Annual,819.99,8.5,11.9,15.3
,,,,,,,,
BOMR-DV,-123.0575,38.3194,12,January,157.41,6.6,10.1,13.7
BOMR-DV,-123.0575,38.3194,12,February,154.59,6.6,10.2,13.8
BOMR-DV,-123.0575,38.3194,12,March,117.99,7.1,10.5,14
BOMR-DV,-123.0575,38.3194,12,April,54.7,7.5,10.9,14.2
BOMR-DV,-123.0575,38.3194,12,May,30.05,8.8,11.8,14.8
BOMR-DV,-123.0575,38.3194,12,June,9.39,10,12.9,15.9
BOMR-DV,-123.0575,38.3194,12,July,0.78,10.6,13.7,16.7
BOMR-DV,-123.0575,38.3194,12,August,1.67,10.9,14.1,17.3
BOMR-DV,-123.0575,38.3194,12,September,3.35,10.2,13.7,17.2
BOMR-DV,-123.0575,38.3194,12,October,38.02,9.5,13.1,16.6
BOMR-DV,-123.0575,38.3194,12,November,82.59,7.7,11.5,15.3
BOMR-DV,-123.0575,38.3194,12,December,175.76,6.2,10.2,14.2
BOMR-DV,-123.0575,38.3194,12,Annual,826.31,8.5,11.9,15.3
,,,,,,,,
WMRC-G,-118.3227,37.3964,1298,January,22,-4.5,3.7,12
WMRC-G,-118.3227,37.3964,1298,February,24.22,-2.9,5.3,13.5
WMRC-G,-118.3227,37.3964,1298,March,11.77,-0.4,8.3,17.1
WMRC-G,-118.3227,37.3964,1298,April,8.6,2.4,11.7,21
WMRC-G,-118.3227,37.3964,1298,May,8.7,6.5,16.2,25.9
WMRC-G,-118.3227,37.3964,1298,June,3.97,10.8,21.3,31.9
WMRC-G,-118.3227,37.3964,1298,July,5.32,14,24.6,35.3
WMRC-G,-118.3227,37.3964,1298,August,2.87,12.7,23.7,34.7
WMRC-G,-118.3227,37.3964,1298,September,2.52,8.8,19.6,30.4
WMRC-G,-118.3227,37.3964,1298,October,7.27,3.3,13.6,24
WMRC-G,-118.3227,37.3964,1298,November,9.61,-2.1,7.3,16.7
WMRC-G,-118.3227,37.3964,1298,December,14.31,-5,3.2,11.5
WMRC-G,-118.3227,37.3964,1298,Annual,121.17,3.6,13.2,22.8
,,,,,,,,
WMRC-DV,-118.3289,37.3588,1237,January,21.09,-4.2,4.1,12.4
WMRC-DV,-118.3289,37.3588,1237,February,24,-2.7,5.7,14
WMRC-DV,-118.3289,37.3588,1237,March,10.53,-0.1,8.7,17.5
WMRC-DV,-118.3289,37.3588,1237,April,7.54,2.7,12.1,21.5
WMRC-DV,-118.3289,37.3588,1237,May,7.72,6.9,16.6,26.4
WMRC-DV,-118.3289,37.3588,1237,June,3.54,11.1,21.6,32.1
WMRC-DV,-118.3289,37.3588,1237,July,4.78,14.2,24.8,35.5
WMRC-DV,-118.3289,37.3588,1237,August,2.59,12.8,23.8,34.9
WMRC-DV,-118.3289,37.3588,1237,September,2.24,8.9,19.9,30.9
WMRC-DV,-118.3289,37.3588,1237,October,6.92,3.5,13.9,24.4
WMRC-DV,-118.3289,37.3588,1237,November,9.29,-2,7.6,17.1
WMRC-DV,-118.3289,37.3588,1237,December,13.63,-5,3.5,11.9
WMRC-DV,-118.3289,37.3588,1237,Annual,113.85,3.8,13.5,23.2
,,,,,,,,
SNARL-G,-118.8313,37.6143,2164,January,55.31,-9.7,-1.5,6.8
SNARL-G,-118.8313,37.6143,2164,February,49.37,-8.7,-0.7,7.3
SNARL-G,-118.8313,37.6143,2164,March,39.05,-6.1,2.2,10.4
SNARL-G,-118.8313,37.6143,2164,April,18.82,-3.6,4.9,13.4
SNARL-G,-118.8313,37.6143,2164,May,18.93,0.3,9.2,18.1
SNARL-G,-118.8313,37.6143,2164,June,9.8,3.9,13.8,23.7
SNARL-G,-118.8313,37.6143,2164,July,9.16,7.2,17.5,27.9
SNARL-G,-118.8313,37.6143,2164,August,6.83,6,16.7,27.5
SNARL-G,-118.8313,37.6143,2164,September,7.17,2.2,13.1,24
SNARL-G,-118.8313,37.6143,2164,October,18.78,-2.4,7.9,18.1
SNARL-G,-118.8313,37.6143,2164,November,30.96,-6.7,2.5,11.8
SNARL-G,-118.8313,37.6143,2164,December,49.71,-9.5,-1.4,6.7
SNARL-G,-118.8313,37.6143,2164,Annual,313.89,-2.3,7,16.3
,,,,,,,,
SNARL-DV,-118.8308,37.6119,2213,January,63.31,-9.5,-1.5,6.6
SNARL-DV,-118.8308,37.6119,2213,February,56.37,-8.7,-0.9,6.9
SNARL-DV,-118.8308,37.6119,2213,March,44.43,-6.1,2,10
SNARL-DV,-118.8308,37.6119,2213,April,20.21,-3.6,4.7,13
SNARL-DV,-118.8308,37.6119,2213,May,22.05,0.2,9,17.7
SNARL-DV,-118.8308,37.6119,2213,June,10.51,3.9,13.6,23.3
SNARL-DV,-118.8308,37.6119,2213,July,9.62,7.2,17.3,27.5
SNARL-DV,-118.8308,37.6119,2213,August,7.17,6.2,16.7,27.1
SNARL-DV,-118.8308,37.6119,2213,September,7.65,2.4,13,23.5
SNARL-DV,-118.8308,37.6119,2213,October,22.53,-2.2,7.8,17.7
SNARL-DV,-118.8308,37.6119,2213,November,34.38,-6.5,2.4,11.4
SNARL-DV,-118.8308,37.6119,2213,December,54.86,-9.4,-1.5,6.5
SNARL-DV,-118.8308,37.6119,2213,Annual,353.09,-2.2,6.9,15.9
,,,,,,,,
VAL-G,-118.9944,37.6319,2472,January,127.22,-10,-2.2,5.5
VAL-G,-118.9944,37.6319,2472,February,111.29,-9.9,-2.2,5.5
VAL-G,-118.9944,37.6319,2472,March,101.78,-7.7,0.2,8.1
VAL-G,-118.9944,37.6319,2472,April,53.4,-4.9,2.9,10.6
VAL-G,-118.9944,37.6319,2472,May,35.79,-1.3,7,15.2
VAL-G,-118.9944,37.6319,2472,June,10.02,2.5,11.7,20.8
VAL-G,-118.9944,37.6319,2472,July,9.63,5.8,15.5,25.2
VAL-G,-118.9944,37.6319,2472,August,6.92,5,14.9,24.8
VAL-G,-118.9944,37.6319,2472,September,8.05,1.6,11.5,21.4
VAL-G,-118.9944,37.6319,2472,October,37.16,-2.5,6.5,15.6
VAL-G,-118.9944,37.6319,2472,November,58.54,-6.8,1.4,9.5
VAL-G,-118.9944,37.6319,2472,December,117.45,-10.1,-2.6,4.9
VAL-G,-118.9944,37.6319,2472,Annual,677.26,-3.2,5.4,13.9
,,,,,,,,
VAL-DV,-118.9936,37.6283,2499,January,124.15,-9.9,-2.3,5.3
VAL-DV,-118.9936,37.6283,2499,February,107.56,-9.8,-2.2,5.4
VAL-DV,-118.9936,37.6283,2499,March,101.15,-7.8,0.1,7.9
VAL-DV,-118.9936,37.6283,2499,April,52.31,-5,2.7,10.4
VAL-DV,-118.9936,37.6283,2499,May,34.58,-1.5,6.7,15
VAL-DV,-118.9936,37.6283,2499,June,9.62,2.4,11.5,20.6
VAL-DV,-118.9936,37.6283,2499,July,9.3,5.6,15.3,24.9
VAL-DV,-118.9936,37.6283,2499,August,6.73,4.7,14.7,24.6
VAL-DV,-118.9936,37.6283,2499,September,7.8,1.5,11.3,21.1
VAL-DV,-118.9936,37.6283,2499,October,35.99,-2.5,6.5,15.4
VAL-DV,-118.9936,37.6283,2499,November,56.82,-6.6,1.3,9.3
VAL-DV,-118.9936,37.6283,2499,December,114.51,-10,-2.6,4.8
VAL-DV,-118.9936,37.6283,2499,Annual,660.53,-3.2,5.2,13.7
,,,,,,,,
YOS-G,-119.8016,37.7594,1909,January,237.43,0.5,4.5,8.6
YOS-G,-119.8016,37.7594,1909,February,195.87,-0.3,4,8.2
YOS-G,-119.8016,37.7594,1909,March,188.45,0.7,5.3,10
YOS-G,-119.8016,37.7594,1909,April,96.92,2.1,6.8,11.4
YOS-G,-119.8016,37.7594,1909,May,60.16,5.9,10.8,15.6
YOS-G,-119.8016,37.7594,1909,June,15.97,10.8,16,21.3
YOS-G,-119.8016,37.7594,1909,July,8.79,15.4,20.4,25.3
YOS-G,-119.8016,37.7594,1909,August,3.97,15.1,20.5,25.9
YOS-G,-119.8016,37.7594,1909,September,11.73,12.1,17.3,22.6
YOS-G,-119.8016,37.7594,1909,October,67.68,7.8,12.3,16.9
YOS-G,-119.8016,37.7594,1909,November,104.54,3.2,7.3,11.5
YOS-G,-119.8016,37.7594,1909,December,195.61,-0.2,3.8,7.8
YOS-G,-119.8016,37.7594,1909,Annual,1187.14,6.1,10.8,15.4
,,,,,,,,
YOS-DV,-119.7995,37.7585,1909,January,237.43,0.5,4.5,8.6
YOS-DV,-119.7995,37.7585,1909,February,195.87,-0.3,4,8.2
YOS-DV,-119.7995,37.7585,1909,March,188.45,0.7,5.3,10
YOS-DV,-119.7995,37.7585,1909,April,96.92,2.1,6.8,11.4
YOS-DV,-119.7995,37.7585,1909,May,60.16,5.9,10.8,15.6
YOS-DV,-119.7995,37.7585,1909,June,15.97,10.8,16,21.3
YOS-DV,-119.7995,37.7585,1909,July,8.79,15.4,20.4,25.3
YOS-DV,-119.7995,37.7585,1909,August,3.97,15.1,20.5,25.9
YOS-DV,-119.7995,37.7585,1909,September,11.73,12.1,17.3,22.6
YOS-DV,-119.7995,37.7585,1909,October,67.68,7.8,12.3,16.9
YOS-DV,-119.7995,37.7585,1909,November,104.54,3.2,7.3,11.5
YOS-DV,-119.7995,37.7585,1909,December,195.61,-0.2,3.8,7.8
YOS-DV,-119.7995,37.7585,1909,Annual,1187.14,6.1,10.8,15.4
,,,,,,,,
MER-G,-120.3966,37.3595,80,January,67.88,3.4,8.2,13
MER-G,-120.3966,37.3595,80,February,56.45,4.5,10.4,16.2
MER-G,-120.3966,37.3595,80,March,54.9,6.1,12.7,19.3
MER-G,-120.3966,37.3595,80,April,27.06,7.7,15,22.4
MER-G,-120.3966,37.3595,80,May,13.98,10.9,19.2,27.4
MER-G,-120.3966,37.3595,80,June,3.95,13.9,22.9,31.8
MER-G,-120.3966,37.3595,80,July,0.49,16.5,25.8,35
MER-G,-120.3966,37.3595,80,August,0.38,15.9,25.2,34.4
MER-G,-120.3966,37.3595,80,September,1.04,13.8,22.9,32
MER-G,-120.3966,37.3595,80,October,16.99,9.7,18,26.2
MER-G,-120.3966,37.3595,80,November,28.61,5.3,12,18.8
MER-G,-120.3966,37.3595,80,December,58.14,2.7,8,13.2
MER-G,-120.3966,37.3595,80,Annual,329.86,9.2,16.7,24.1
